"price.open";"price.high";"price.low";"price.close";"volume";"price.adjusted";"ref.date";"ticker"
"795";11.35;11.495;11.2;11.23;11535500;9.9711;2014-03-24;"ACA.PA"
"796";11.305;11.405;11.26;11.37;6484700;10.0954;2014-03-25;"ACA.PA"
"797";11.4;11.47;11.295;11.355;6272600;10.082;2014-03-26;"ACA.PA"
"798";11.345;11.375;11.225;11.325;3618400;10.0554;2014-03-27;"ACA.PA"
"799";11.395;11.435;11.325;11.395;3164000;10.1176;2014-03-28;"ACA.PA"
"800";11.46;11.505;11.41;11.445;5120100;10.162;2014-03-31;"ACA.PA"
"801";11.55;11.965;11.495;11.915;8690300;10.5793;2014-04-01;"ACA.PA"
"802";11.92;11.95;11.725;11.795;5301900;10.4727;2014-04-02;"ACA.PA"
"803";11.825;12.005;11.735;11.89;5764400;10.5571;2014-04-03;"ACA.PA"
"804";11.91;12.035;11.85;11.975;5425200;10.6325;2014-04-04;"ACA.PA"
"805";11.855;11.9;11.7;11.735;4551600;10.4194;2014-04-07;"ACA.PA"
"806";11.75;11.82;11.295;11.44;8604800;10.1575;2014-04-08;"ACA.PA"
"807";11.49;11.675;11.46;11.61;7138700;10.3085;2014-04-09;"ACA.PA"
"808";11.7;11.75;11.4;11.42;4780100;10.1398;2014-04-10;"ACA.PA"
"809";11.34;11.37;11.105;11.225;8806400;9.9666;2014-04-11;"ACA.PA"
"810";11.14;11.245;10.89;11.06;7171800;9.8201;2014-04-14;"ACA.PA"
"811";11.105;11.12;10.855;10.88;5800800;9.6603;2014-04-15;"ACA.PA"
"812";11;11.17;10.985;11.165;5054300;9.9133;2014-04-16;"ACA.PA"
"813";11.175;11.385;11.095;11.375;5112800;10.0998;2014-04-17;"ACA.PA"
"814";11.375;11.375;11.375;11.375;0;10.0998;2014-04-18;"ACA.PA"
"815";11.375;11.375;11.375;11.375;0;10.0998;2014-04-21;"ACA.PA"
"816";11.42;11.565;11.29;11.56;4612300;10.2641;2014-04-22;"ACA.PA"
"817";11.515;11.64;11.435;11.465;3836800;10.1797;2014-04-23;"ACA.PA"
"818";11.55;11.655;11.36;11.55;4494800;10.2552;2014-04-24;"ACA.PA"
"819";11.415;11.48;11.285;11.355;3419700;10.082;2014-04-25;"ACA.PA"
"820";11.35;11.485;11.235;11.295;2553000;10.0288;2014-04-28;"ACA.PA"
"821";11.29;11.465;11.24;11.465;5999200;10.1797;2014-04-29;"ACA.PA"
"822";11.455;11.5;11.26;11.355;4147000;10.082;2014-04-30;"ACA.PA"
"823";11.355;11.355;11.355;11.355;0;10.082;2014-05-01;"ACA.PA"
"824";11.395;11.44;11.325;11.375;3373800;10.0998;2014-05-02;"ACA.PA"
"825";11.31;11.345;11.075;11.245;4665100;9.9844;2014-05-05;"ACA.PA"
"826";11.28;11.35;11.025;11.105;5511800;9.8601;2014-05-06;"ACA.PA"
"827";11.48;11.89;11.38;11.86;12611100;10.5304;2014-05-07;"ACA.PA"
"828";11.86;12.085;11.82;12.045;8335100;10.6947;2014-05-08;"ACA.PA"
"829";11.975;12.07;11.785;11.83;3969100;10.5038;2014-05-09;"ACA.PA"
"830";11.89;12.025;11.795;11.9;4740100;10.5659;2014-05-12;"ACA.PA"
"831";11.935;12.02;11.805;11.885;4388700;10.5526;2014-05-13;"ACA.PA"
"832";11.875;11.94;11.625;11.635;5872900;10.3307;2014-05-14;"ACA.PA"
"833";11.64;11.735;11.115;11.15;10844100;9.9;2014-05-15;"ACA.PA"
"834";11.13;11.315;11.055;11.275;7168600;10.011;2014-05-16;"ACA.PA"
"835";11.27;11.37;11.035;11.095;7360300;9.8512;2014-05-19;"ACA.PA"
"836";11.075;11.18;10.88;11.01;8851700;9.7757;2014-05-20;"ACA.PA"
"837";11.03;11.27;10.885;11.24;6456400;9.9799;2014-05-21;"ACA.PA"
"838";11.27;11.31;11.05;11.26;3998200;9.9977;2014-05-22;"ACA.PA"
"839";11.3;11.565;11.255;11.56;6322500;10.2641;2014-05-23;"ACA.PA"
"840";11.585;11.675;11.565;11.67;2332400;10.3617;2014-05-26;"ACA.PA"
"841";11.66;11.84;11.655;11.76;3532100;10.4416;2014-05-27;"ACA.PA"
"842";11.79;11.95;11.74;11.95;6150100;10.6103;2014-05-28;"ACA.PA"
"843";11.94;11.975;11.82;11.89;2948300;10.5571;2014-05-29;"ACA.PA"
"844";11.55;11.565;11.325;11.445;7535400;10.4702;2014-05-30;"ACA.PA"
"845";11.4;11.49;11.355;11.385;4942300;10.4153;2014-06-02;"ACA.PA"
"846";11.38;11.51;11.35;11.39;3509900;10.4198;2014-06-03;"ACA.PA"
"847";11.345;11.55;11.335;11.55;4787400;10.5662;2014-06-04;"ACA.PA"
"848";11.59;11.955;11.52;11.655;8406700;10.6623;2014-06-05;"ACA.PA"
"849";11.71;11.975;11.7;11.915;6618100;10.9001;2014-06-06;"ACA.PA"
"850";11.95;12.095;11.855;11.95;3738300;10.9321;2014-06-09;"ACA.PA"
"851";11.89;12.015;11.855;11.88;3958700;10.8681;2014-06-10;"ACA.PA"
"852";11.885;11.9;11.605;11.685;5499600;10.6897;2014-06-11;"ACA.PA"
"853";11.73;11.85;11.66;11.72;3733400;10.7217;2014-06-12;"ACA.PA"
"854";11.645;11.74;11.44;11.715;6085300;10.7172;2014-06-13;"ACA.PA"
"855";11.615;11.7;11.44;11.455;5688800;10.4793;2014-06-16;"ACA.PA"
"856";11.455;11.555;11.325;11.405;5769700;10.4336;2014-06-17;"ACA.PA"
"857";11.41;11.505;11.325;11.325;4625800;10.3604;2014-06-18;"ACA.PA"
"858";11.45;11.53;11.33;11.35;4224000;10.3832;2014-06-19;"ACA.PA"
"859";11.33;11.41;11.145;11.145;8254400;10.1957;2014-06-20;"ACA.PA"
"860";11.16;11.16;10.96;11.025;4828300;10.0859;2014-06-23;"ACA.PA"
"861";11.05;11.1;10.885;10.92;5475800;9.9899;2014-06-24;"ACA.PA"
"862";10.87;10.915;10.635;10.71;7790700;9.7978;2014-06-25;"ACA.PA"
"863";10.73;10.79;10.54;10.595;7289500;9.6926;2014-06-26;"ACA.PA"
"864";10.55;10.77;10.49;10.6;6665600;9.6971;2014-06-27;"ACA.PA"
"865";10.61;10.665;10.245;10.3;8159900;9.4227;2014-06-30;"ACA.PA"
"866";10.39;10.63;10.26;10.605;8250600;9.7017;2014-07-01;"ACA.PA"
"867";10.6;10.655;10.495;10.56;4189600;9.6605;2014-07-02;"ACA.PA"
"868";10.59;10.75;10.5;10.705;5169700;9.7932;2014-07-03;"ACA.PA"
"869";10.75;10.855;10.595;10.64;5437400;9.7337;2014-07-04;"ACA.PA"
"870";10.61;10.695;10.415;10.435;4724800;9.5462;2014-07-07;"ACA.PA"
"871";10.43;10.46;10.15;10.17;6411100;9.3038;2014-07-08;"ACA.PA"
"872";10.18;10.255;10.08;10.21;7709400;9.3404;2014-07-09;"ACA.PA"
